Tip_label f
Acarospora_austroshetlandica 0.02
Acarospora_badiofusca 0.02
Acarospora_bullata 0.02
Acarospora_canadensis 0.02
Acarospora_cervina 0.02
Acarospora_clauzadeana 0.02
Acarospora_complanata 0.02
Acarospora_fulvoviridula 0.02
Acarospora_fuscata 0.02
Acarospora_hilaris 0.02
Acarospora_laqueata 0.02
Acarospora_moenium 0.02
Acarospora_molybdina 0.02
Acarospora_nitrophila 0.02
Acarospora_peliscypha 0.02
Acarospora_rosulata 0.02
Acarospora_rugulosa 0.02
Acarospora_scabrida 0.02
Acarospora_schleicheri 0.02
Acarospora_sinopica 0.02
Acarospora_smaragdula 0.02
Acarospora_socialis 0.02
Acarospora_strigata 0.02
Acarospora_thamnina 0.02
Glypholecia_scabra 0.02
Pleopsidium_chlorophanum 0.02
Pleopsidium_discurrens 0.02
Pleopsidium_flavum 0.02
Pleopsidium_gobiense 0.02
Polysporina_frigida 0.02
Polysporina_simplex 0.02
Sarcogyne_privigna 0.02
Sarcogyne_regularis 0.02
Timdalia_intricata 0.02
Fuscidea_cyathoides 0.02
Fuscidea_intercincta 0.02
Fuscidea_lightfootii 0.02
Fuscidea_lygaea 0.02
Fuscidea_mollis 0.02
Fuscidea_pusilla 0.02
Fuscidea_recensa 0.02
Maronea_chilensis 0.02
Maronea_constans 0.02
Bryobilimbia_australis 0.08
Bryobilimbia_diapensiae 0.08
Bryobilimbia_hypnorum 0.08
Bryobilimbia_sanguineoatra 0.08
Acroscyphus_sphaerophoroides 0.01
Amandinea_efflorescens 0.01
Amandinea_lignicola 0.01
Amandinea_petermannii 0.01
Amandinea_punctata 0.01
Australiaena_streimannii 0.01
Buellia_aethalea 0.01
Buellia_anisomera 0.01
Buellia_capitis_regum 0.01
Buellia_centralis 0.01
Buellia_dialyta 0.01
Buellia_dijiana 0.01
Buellia_disciformis 0.01
Buellia_dispersa 0.01
Buellia_elegans 0.01
Buellia_epigaea 0.01
Buellia_erubescens 0.01
Buellia_fimbriata 0.01
Buellia_frigida 0.01
Buellia_geophila 0.01
Buellia_georgei 0.01
Buellia_griseovirens 0.01
Buellia_insignis 0.01
Buellia_muriformis 0.01
Buellia_ocellata 0.01
Buellia_papillata 0.01
Buellia_penichra 0.01
Buellia_russa 0.01
Buellia_schaereri 0.01
Buellia_stillingiana 0.01
Buellia_subdisciformis 0.01
Buellia_submuriformis 0.01
Buellia_triphragmoides 0.01
Buellia_triseptata 0.01
Buellia_zoharyi 0.01
Calicium_abietinum 0.01
Calicium_adaequatum 0.01
Calicium_adspersum 0.01
Calicium_chlorosporum 0.01
Calicium_denigratum 0.01
Calicium_glaucellum 0.01
Calicium_hyperelloides 0.01
Calicium_montanum 0.01
Calicium_pinastri 0.01
Calicium_quercinum 0.01
Calicium_robustellum 0.01
Calicium_salicinum 0.01
Calicium_sequoiae 0.01
Calicium_trabinellum 0.01
Calicium_tricolor 0.01
