Tip_label f
Acarospora_austroshetlandica 0.1
Acarospora_badiofusca 0.1
Acarospora_bullata 0.1
Acarospora_canadensis 0.1
Acarospora_cervina 0.1
Acarospora_clauzadeana 0.1
Acarospora_complanata 0.1
Acarospora_fulvoviridula 0.1
Acarospora_fuscata 0.1
Acarospora_hilaris 0.1
Acarospora_laqueata 0.1
Acarospora_moenium 0.1
Acarospora_molybdina 0.1
Acarospora_nitrophila 0.1
Acarospora_peliscypha 0.1
Acarospora_rosulata 0.1
Acarospora_rugulosa 0.1
Acarospora_scabrida 0.1
Acarospora_schleicheri 0.1
Acarospora_sinopica 0.1
Acarospora_smaragdula 0.1
Acarospora_socialis 0.1
Acarospora_strigata 0.1
Acarospora_thamnina 0.1
Glypholecia_scabra 0.1
Pleopsidium_chlorophanum 0.1
Pleopsidium_discurrens 0.1
Pleopsidium_flavum 0.1
Pleopsidium_gobiense 0.1
Polysporina_frigida 0.1
Polysporina_simplex 0.1
Sarcogyne_privigna 0.1
Sarcogyne_regularis 0.1
Timdalia_intricata 0.1
Fuscidea_cyathoides 0.08
Fuscidea_intercincta 0.08
Fuscidea_lightfootii 0.08
Fuscidea_lygaea 0.08
Fuscidea_mollis 0.08
Fuscidea_pusilla 0.08
Fuscidea_recensa 0.08
Maronea_chilensis 0.08
Maronea_constans 0.08
Bryobilimbia_australis 0.4
Bryobilimbia_diapensiae 0.4
Bryobilimbia_hypnorum 0.4
Bryobilimbia_sanguineoatra 0.4
Acroscyphus_sphaerophoroides 0.06
Amandinea_efflorescens 0.06
Amandinea_lignicola 0.06
Amandinea_petermannii 0.06
Amandinea_punctata 0.06
Australiaena_streimannii 0.06
Buellia_aethalea 0.06
Buellia_anisomera 0.06
Buellia_capitis_regum 0.06
Buellia_centralis 0.06
Buellia_dialyta 0.06
Buellia_dijiana 0.06
Buellia_disciformis 0.06
Buellia_dispersa 0.06
Buellia_elegans 0.06
Buellia_epigaea 0.06
Buellia_erubescens 0.06
Buellia_fimbriata 0.06
Buellia_frigida 0.06
Buellia_geophila 0.06
Buellia_georgei 0.06
Buellia_griseovirens 0.06
Buellia_insignis 0.06
Buellia_muriformis 0.06
Buellia_ocellata 0.06
Buellia_papillata 0.06
Buellia_penichra 0.06
Buellia_russa 0.06
Buellia_schaereri 0.06
Buellia_stillingiana 0.06
Buellia_subdisciformis 0.06
Buellia_submuriformis 0.06
Buellia_triphragmoides 0.06
Buellia_triseptata 0.06
Buellia_zoharyi 0.06
Calicium_abietinum 0.06
Calicium_adaequatum 0.06
Calicium_adspersum 0.06
Calicium_chlorosporum 0.06
Calicium_denigratum 0.06
Calicium_glaucellum 0.06
Calicium_hyperelloides 0.06
Calicium_montanum 0.06
Calicium_pinastri 0.06
Calicium_quercinum 0.06
Calicium_robustellum 0.06
Calicium_salicinum 0.06
Calicium_sequoiae 0.06
Calicium_trabinellum 0.06
Calicium_tricolor 0.06
Calicium_victorianum 0.06
Calicium_viride 0.06
Cyphelium_inquinans 0.06
Cyphelium_karelicum 0.06
Cyphelium_lucidum 0.06
Cyphelium_notarisii 0.06
Cyphelium_tigillare 0.06
Dermatiscum_thunbergii 0.06
Dimelaena_oreina 0.06
Dimelaena_radiata 0.06
Diploicia_canescens 0.06
Diploicia_subcanescens 0.06
Diplotomma_alboatrum 0.06
Diplotomma_epipolium 0.06
Diplotomma_pharcidium 0.06
Diplotomma_rivas_martinezii 0.06
Diplotomma_subdispersa 0.06
Diplotomma_venustum 0.06
Dirinaria_aegialita 0.06
Dirinaria_applanata 0.06
Dirinaria_confusa 0.06
Dirinaria_picta 0.06
Hafellia_dissa 0.06
Pyxine_albovirens 0.06
Pyxine_coccoes 0.06
Pyxine_consocians 0.06
Pyxine_copelandii 0.06
Pyxine_endochrysina 0.06
Pyxine_farinosa 0.06
Pyxine_limbulata 0.06
Pyxine_petricola 0.06
Pyxine_sorediata 0.06
Pyxine_subcinerea 0.06
Rinodina_cacuminum 0.06
Santessonia_namibensis 0.06
Santessonia_sorediata 0.06
Tetramelas_confusus 0.06
Tetramelas_phaeophysciae 0.06
Tetramelas_pulverulentus 0.06
Texosporium_sancti_jacobi 0.06
Thelomma_mammosum 0.06
Thelomma_ocellatum 0.06
Tholurna_dissimilis 0.06
Anaptychia_bryorum 0.14
Anaptychia_ciliaris 0.14
Anaptychia_crinalis 0.14
Anaptychia_desertorum 0.14
Anaptychia_elburziana 0.14
Anaptychia_isidiata 0.14
Anaptychia_palmatula 0.14
Anaptychia_runcinata 0.14
Anaptychia_ulotricoides 0.14
Buellia_lindingeri 0.14
Coscinocladium_gaditanum 0.14
Heterodermia_albicans 0.14
Heterodermia_appendiculata 0.14
Heterodermia_boryi 0.14
Heterodermia_casarettiana 0.14
Heterodermia_comosa 0.14
Heterodermia_diademata 0.14
Heterodermia_dissecta 0.14
Heterodermia_erinacea 0.14
Heterodermia_flabellata 0.14
Heterodermia_hypochraea 0.14
Heterodermia_hypoleuca 0.14
Heterodermia_isidiophora 0.14
Heterodermia_japonica 0.14
Heterodermia_lamelligera 0.14
Heterodermia_leucomelaena 0.14
Heterodermia_lutescens 0.14
Heterodermia_microphylla 0.14
Heterodermia_obscurata 0.14
Heterodermia_pellucida 0.14
Heterodermia_propagulifera 0.14
Heterodermia_pseudospeciosa 0.14
Heterodermia_speciosa 0.14
Heterodermia_subascendens 0.14
Heterodermia_vulgaris 0.14
Hyperphyscia_adglutinata 0.14
Mobergia_calculiformis 0.14
Phaeophyscia_adiastola 0.14
Phaeophyscia_ciliata 0.14
Phaeophyscia_constipata 0.14
Phaeophyscia_denigrata 0.14
Phaeophyscia_endococcina 0.14
Phaeophyscia_endophoenicea 0.14
Phaeophyscia_exornatula 0.14
Phaeophyscia_hirsuta 0.14
Phaeophyscia_hirtella 0.14
Phaeophyscia_hirtuosa 0.14
Phaeophyscia_hispidula 0.14
Phaeophyscia_imbricata 0.14
Phaeophyscia_insignis 0.14
Phaeophyscia_limbata 0.14
Phaeophyscia_melanchra 0.14
Phaeophyscia_nigricans 0.14
Phaeophyscia_orbicularis 0.14
Phaeophyscia_primaria 0.14
Phaeophyscia_pusilloides 0.14
Phaeophyscia_pyrrhophora 0.14
Phaeophyscia_sciastra 0.14
Phaeophyscia_squarrosa 0.14
Phaeorrhiza_nimbosa 0.14
Phaeorrhiza_sareptana 0.14
Physcia_adscendens 0.14
Physcia_aipolia 0.14
Physcia_alba 0.14
Physcia_albinea 0.14
Physcia_alnophila 0.14
Physcia_atrostriata 0.14
Physcia_austrostellaris 0.14
Physcia_biziana 0.14
Physcia_caesia 0.14
Physcia_dimidiata 0.14
Physcia_dubia 0.14
Physcia_erumpens 0.14
Physcia_integrata 0.14
Physcia_jackii 0.14
Physcia_kalbii 0.14
Physcia_krogiae 0.14
Physcia_leptalea 0.14
Physcia_magnussonii 0.14
Physcia_millegrana 0.14
Physcia_nubila 0.14
Physcia_orientalis 0.14
Physcia_phaea 0.14
Physcia_semipinnata 0.14
Physcia_sorediosa 0.14
Physcia_stellaris 0.14
Physcia_subalbinea 0.14
Physcia_tenella 0.14
Physcia_tribacia 0.14
Physcia_tropica 0.14
Physcia_undulata 0.14
Physciella_chloantha 0.14
Physconia_americana 0.14
Physconia_detersa 0.14
Physconia_distorta 0.14
Physconia_elegantula 0.14
Physconia_enteroxantha 0.14
Physconia_grisea 0.14
Physconia_grumosa 0.14
Physconia_isidiigera 0.14
Physconia_kurokawae 0.14
Physconia_leucoleiptes 0.14
Physconia_muscigena 0.14
Physconia_perisidiosa 0.14
Physconia_servitii 0.14
Physconia_subpulverulenta 0.14
Physconia_thorstenii 0.14
Physconia_venusta 0.14
Rinodina_alba 0.14
Rinodina_albana 0.14
Rinodina_atrocinerea 0.14
Rinodina_bischoffii 0.14
Rinodina_cacaotina 0.14
Rinodina_calcarea 0.14
Rinodina_candidogrisea 0.14
Rinodina_capensis 0.14
Rinodina_confragosa 0.14
Rinodina_exigua 0.14
Rinodina_gallowayi 0.14
Rinodina_gennarii 0.14
Rinodina_herteliana 0.14
Rinodina_immersa 0.14
Rinodina_interpolata 0.14
Rinodina_jamesii 0.14
Rinodina_lecanorina 0.14
Rinodina_lepida 0.14
Rinodina_luridata 0.14
Rinodina_luridescens 0.14
Rinodina_milvina 0.14
Rinodina_mniaraea 0.14
Rinodina_nimisii 0.14
Rinodina_obnascens 0.14
Rinodina_oleae 0.14
Rinodina_olivaceobrunnea 0.14
Rinodina_oxydata 0.14
Rinodina_plana 0.14
Rinodina_pyrina 0.14
Rinodina_reagens 0.14
Rinodina_sophodes 0.14
Rinodina_teichophila 0.14
Rinodina_tephraspis 0.14
Rinodina_tunicata 0.14
Rinodina_turfacea 0.14
Rinodina_zwackhiana 0.14
Rinodinella_controversa 0.14
Rinodinella_dubyanoides 0.14
Tornabea_scutellifera 0.14
Catillaria_chalybeia 0.02
Catinaria_atropurpurea 0.02
Clauzadea_monticola 0.12
Calycidium_cuneatum 0.16
Carbonicola_anthracophila 0.34
Hypocenomyce_castaneocinerea 0.34
Carassea_connexa 0.19
Cladia_aggregata 0.19
Cladia_corallaizon 0.19
Cladia_deformis 0.19
Cladia_dumicola 0.19
Cladia_ferdinandii 0.19
Cladia_fuliginosa 0.19
Cladia_inflata 0.19
Cladia_moniliformis 0.19
Cladia_retipora 0.19
Cladia_schizopora 0.19
Cladia_sullivanii 0.19
Cladonia_acuminata 0.19
Cladonia_ahtii 0.19
Cladonia_albofuscescens 0.19
Cladonia_amaurocraea 0.19
Cladonia_anaemica 0.19
Cladonia_andesita 0.19
Cladonia_apodocarpa 0.19
Cladonia_arbuscula 0.19
Cladonia_argentea 0.19
Cladonia_asahinae 0.19
Cladonia_atlantica 0.19
Cladonia_bacilliformis 0.19
Cladonia_bahiana 0.19
Cladonia_beaumontii 0.19
Cladonia_bellidiflora 0.19
Cladonia_borbonica 0.19
Cladonia_borealis 0.19
Cladonia_boryi 0.19
Cladonia_botrytes 0.19
Cladonia_caespiticia 0.19
Cladonia_callosa 0.19
Cladonia_calyciformis 0.19
Cladonia_capitellata 0.19
Cladonia_cariosa 0.19
Cladonia_carneola 0.19
Cladonia_caroliniana 0.19
Cladonia_cartilaginea 0.19
Cladonia_cenotea 0.19
Cladonia_ceratophylla 0.19
Cladonia_cervicornis 0.19
Cladonia_chlorophaea 0.19
Cladonia_clathrata 0.19
Cladonia_coccifera 0.19
Cladonia_confusa 0.19
Cladonia_coniocraea 0.19
Cladonia_conista 0.19
Cladonia_consimilis 0.19
Cladonia_convoluta 0.19
Cladonia_corallifera 0.19
Cladonia_corniculata 0.19
Cladonia_cornuta 0.19
Cladonia_corsicana 0.19
Cladonia_corymbescens 0.19
Cladonia_crinita 0.19
Cladonia_crispata 0.19
Cladonia_crispatula 0.19
Cladonia_cristatella 0.19
Cladonia_cyathomorpha 0.19
Cladonia_cylindrica 0.19
Cladonia_deformis 0.19
Cladonia_delavayi 0.19
Cladonia_dendroides 0.19
Cladonia_densissima 0.19
Cladonia_didyma 0.19
Cladonia_digitata 0.19
Cladonia_dimorphoclada 0.19
Cladonia_divaricata 0.19
Cladonia_diversa 0.19
Cladonia_ecmocyna 0.19
Cladonia_elixii 0.19
Cladonia_evansii 0.19
Cladonia_farinacea 0.19
Cladonia_fimbriata 0.19
Cladonia_firma 0.19
Cladonia_fissidens 0.19
Cladonia_fleigiae 0.19
Cladonia_floerkeana 0.19
Cladonia_foliacea 0.19
Cladonia_fruticulosa 0.19
Cladonia_furcata 0.19
Cladonia_furfuraceoides 0.19
Cladonia_glauca 0.19
Cladonia_gracilis 0.19
Cladonia_grayi 0.19
Cladonia_hedbergii 0.19
Cladonia_hians 0.19
Cladonia_homchantarae 0.19
Cladonia_humilis 0.19
Cladonia_hypomelaena 0.19
Cladonia_incrassata 0.19
Cladonia_innominata 0.19
Cladonia_kurokawae 0.19
Cladonia_laii 0.19
Cladonia_latiloba 0.19
Cladonia_lepidophora 0.19
Cladonia_leporina 0.19
Cladonia_lopezii 0.19
Cladonia_luteoalba 0.19
Cladonia_macilenta 0.19
Cladonia_macilentoides 0.19
Cladonia_macroceras 0.19
Cladonia_macrophylla 0.19
Cladonia_macrophyllodes 0.19
Cladonia_magyarica 0.19
Cladonia_marionii 0.19
Cladonia_mauritiana 0.19
Cladonia_maxima 0.19
Cladonia_merochlorophaea 0.19
Cladonia_metacorallifera 0.19
Cladonia_metaminiata 0.19
Cladonia_minarum 0.19
Cladonia_miniata 0.19
Cladonia_mitis 0.19
Cladonia_multiformis 0.19
Cladonia_nana 0.19
Cladonia_nashii 0.19
Cladonia_neozelandica 0.19
Cladonia_nipponica 0.19
Cladonia_novochlorophaea 0.19
Cladonia_ochrochlora 0.19
Cladonia_pachycladodes 0.19
Cladonia_parvipes 0.19
Cladonia_peltastica 0.19
Cladonia_perforata 0.19
Cladonia_pertricosa 0.19
Cladonia_petrophila 0.19
Cladonia_peziziformis 0.19
Cladonia_phyllophora 0.19
Cladonia_piedadensis 0.19
Cladonia_pityrophylla 0.19
Cladonia_pleurota 0.19
Cladonia_pocillum 0.19
Cladonia_polydactyla 0.19
Cladonia_polyscypha 0.19
Cladonia_polystomata 0.19
Cladonia_portentosa 0.19
Cladonia_prancei 0.19
Cladonia_prostrata 0.19
Cladonia_pulvinata 0.19
Cladonia_pulvinella 0.19
Cladonia_pycnoclada 0.19
Cladonia_pyxidata 0.19
Cladonia_rangiferina 0.19
Cladonia_rangiformis 0.19
Cladonia_rappii 0.19
Cladonia_ravenelii 0.19
Cladonia_recticaulis 0.19
Cladonia_rei 0.19
Cladonia_rigida 0.19
Cladonia_robbinsii 0.19
Cladonia_rotundata 0.19
Cladonia_rudis 0.19
Cladonia_rugulosa 0.19
Cladonia_salmonea 0.19
Cladonia_scabriuscula 0.19
Cladonia_secundana 0.19
Cladonia_signata 0.19
Cladonia_sinensis 0.19
Cladonia_singhii 0.19
Cladonia_solitaria 0.19
Cladonia_squamosa 0.19
Cladonia_squamosissima 0.19
Cladonia_staufferi 0.19
Cladonia_stellaris 0.19
Cladonia_stenroosiae 0.19
Cladonia_steyermarkii 0.19
Cladonia_stipitata 0.19
Cladonia_strepsilis 0.19
Cladonia_stygia 0.19
Cladonia_subcariosa 0.19
Cladonia_subcervicornis 0.19
Cladonia_subchordalis 0.19
Cladonia_subconistea 0.19
Cladonia_subfurcata 0.19
Cladonia_subreticulata 0.19
Cladonia_subsetacea 0.19
Cladonia_subsquamosa 0.19
Cladonia_substellata 0.19
Cladonia_subsubulata 0.19
Cladonia_subtenuis 0.19
Cladonia_subturgida 0.19
Cladonia_subulata 0.19
Cladonia_sulcata 0.19
Cladonia_sulphurina 0.19
Cladonia_symphycarpa 0.19
Cladonia_symphycarpia 0.19
Cladonia_terrae_novae 0.19
Cladonia_thomsonii 0.19
Cladonia_trapezuntica 0.19
Cladonia_turgida 0.19
Cladonia_ustulata 0.19
Cladonia_vareschii 0.19
Cladonia_variegata 0.19
Cladonia_verticillaris 0.19
Cladonia_verticillata 0.19
Cladonia_vulcani 0.19
Cladonia_vulcanica 0.19
Cladonia_wainioi 0.19
Cladonia_weymouthii 0.19
Cladonia_yunnana 0.19
Cladonia_zopfii 0.19
Gymnoderma_coccocarpum 0.19
Heterodea_beaugleholei 0.19
Heterodea_muelleri 0.19
Metus_conglomeratus 0.19
Pilophorus_acicularis 0.19
Pilophorus_cereolus 0.19
Pilophorus_robustus 0.19
Pilophorus_strumaticus 0.19
Pycnothelia_papillaria 0.19
Ramalea_cochleata 0.19
Ramalinora_glaucolivida 0.19
Thysanothecium_scutellatum 0.19
Gypsoplaca_macrophylla 0.5
Haematomma_accolens 0.1
Haematomma_erythromma 0.1
Haematomma_flexuosum 0.1
Haematomma_ochroleucum 0.1
Haematomma_stevensiae 0.1
Haematomma_sulphureum 0.1
Adelolecia_pilati 0.1
Arctopeltis_thuleana 0.1
Bryonora_castanea 0.1
Carbonea_supersparsa 0.1
Carbonea_vitellinaria 0.1
Carbonea_vorticosa 0.1
Frutidella_caesioatra 0.1
Japewia_subaurifera 0.1
Japewia_tornoensis 0.1
Lecanora_achariana 0.1
Lecanora_achroa 0.1
Lecanora_aitema 0.1
Lecanora_albescens 0.1
Lecanora_allophana 0.1
Lecanora_andrewii 0.1
Lecanora_anopta 0.1
Lecanora_argentata 0.1
Lecanora_argopholis 0.1
Lecanora_austrotropica 0.1
Lecanora_bicincta 0.1
Lecanora_bipruinosa 0.1
Lecanora_burgaziae 0.1
Lecanora_caesiorubella 0.1
Lecanora_californica 0.1
Lecanora_campestris 0.1
Lecanora_carpinea 0.1
Lecanora_cateilea 0.1
Lecanora_cenisia 0.1
Lecanora_chlarotera 0.1
Lecanora_chlorophaeodes 0.1
Lecanora_concolor 0.1
Lecanora_confusa 0.1
Lecanora_conizaeoides 0.1
Lecanora_contractula 0.1
Lecanora_crenulata 0.1
Lecanora_densa 0.1
Lecanora_dispersa 0.1
Lecanora_dispersoareolata 0.1
Lecanora_epibryon 0.1
Lecanora_expallens 0.1
Lecanora_farinacea 0.1
Lecanora_filamentosa 0.1
Lecanora_flavoleprosa 0.1
Lecanora_flavopallida 0.1
Lecanora_flotowiana 0.1
Lecanora_fuscescens 0.1
Lecanora_fuscobrunnea 0.1
Lecanora_gangaleoides 0.1
Lecanora_garovaglii 0.1
Lecanora_glabrata 0.1
Lecanora_hagenii 0.1
Lecanora_helva 0.1
Lecanora_horiza 0.1
Lecanora_hybocarpa 0.1
