generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-2.2017,-16207.2,34,0
10000,4,2.22439,-15351.5,4.80526,0.3151
20000,3,4.34687,-15210.5,1.38228,0.4328
30000,6,6.36767,-15155.1,6.22603,0.359721
40000,7,3.61968,-15133.1,10.5095,0.4081
50000,11,14.062,-15105.2,10.8502,0.4291
60000,20,28.9788,-15105.4,13.6494,0.435167
70000,22,27.0412,-15028,31.7411,0.44695
80000,18,16.3662,-14978.7,18.1725,0.420895
90000,18,25.9113,-15008.8,15.0552,0.43315
100000,18,28.4799,-14976.5,14.1952,0.44905
110000,21,29.3549,-14965.5,15.2555,0.4564
120000,17,25.6021,-14971.7,19.9823,0.4562
130000,10,17.487,-14940,8.57261,0.4339
140000,23,37.25,-14953.9,29.2358,0.46465
150000,13,24.3954,-14998.3,16.1553,0.448644
160000,15,27.2965,-14923.8,17.8964,0.4323
170000,19,28.0673,-15006.2,23.731,0.429345
180000,11,19.0911,-14908.8,11.3581,0.40665
190000,14,25.5094,-14909.4,14.4352,0.420883
200000,12,22.1406,-14878.4,9.82821,0.4166
210000,13,24.0213,-14877.8,8.41961,0.4087
220000,18,29.1511,-14930.3,25.2165,0.418771
230000,20,28.3274,-14865,21.7276,0.4377
240000,16,28.6459,-14854.1,15.0076,0.4191
250000,15,25.8901,-14852.7,10.1509,0.4125
260000,12,18.062,-14918.8,12.3403,0.419825
270000,11,20.9883,-14909.1,14.4908,0.3898
280000,15,25.6869,-14854.4,19.4457,0.4094
290000,11,21.0666,-14908.1,7.79524,0.40995
300000,13,22.4835,-14875.9,13.7327,0.401222
310000,13,24.9585,-14857.6,16.8586,0.403733
320000,15,24.3409,-14850.9,15.0684,0.4065
330000,13,21.2206,-14850.6,12.011,0.4422
340000,17,25.8397,-14848.5,16.2873,0.4234
350000,18,30.6884,-14845.9,12.5038,0.4321
360000,14,22.3406,-14849.9,10.3658,0.4312
370000,15,24.5033,-14863.6,7.46005,0.426
380000,23,32.1603,-14851.8,23.76,0.435
390000,18,30.2595,-14876.4,19.3685,0.425333
400000,13,22.7672,-14870.2,17.6743,0.431891
410000,15,26.0049,-14847.3,21.542,0.4371
420000,24,38.7594,-14902.5,22.5864,0.444036
430000,15,24.8345,-14859.2,19.1379,0.42995
