Rate	62.50
Rev Jump	12.50
Prior Change	12.50
Tree Move	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
2940	0.313946	584	0.032534	749	0.026702	727	0.011004	0.647324	2940	0.313946	0.194000	0.209773	
3057	0.325810	470	0.053191	726	0.037190	747	0.013387	0.647324	3057	0.325810	0.211600	0.209773	
2948	0.305631	469	0.049041	857	0.016336	726	0.009642	0.647324	2948	0.305631	0.189000	0.209768	
3108	0.313385	485	0.051546	714	0.036415	693	0.008658	0.647324	3108	0.313385	0.206200	0.209767	
3184	0.310616	495	0.058586	669	0.031390	652	0.007669	0.647324	3184	0.310616	0.208800	0.209767	
3182	0.312382	500	0.056000	646	0.034056	672	0.008929	0.647324	3182	0.312382	0.210000	0.209767	
3120	0.318269	407	0.039312	787	0.030496	686	0.004373	0.647324	3120	0.318269	0.207200	0.209766	
3111	0.324976	459	0.045752	737	0.014925	693	0.005772	0.647324	3111	0.324976	0.209400	0.209766	
2942	0.324949	418	0.066986	821	0.032887	819	0.013431	0.647324	2942	0.324949	0.204400	0.209765	
3201	0.312715	509	0.025540	618	0.055016	672	0.016369	0.647324	3201	0.312715	0.211800	0.209765	
3175	0.333858	501	0.035928	667	0.022489	657	0.007610	0.647324	3175	0.333858	0.219600	0.209768	
3229	0.311552	524	0.053435	628	0.025478	619	0.011309	0.647324	3229	0.311552	0.211400	0.209768	
3139	0.335776	573	0.027923	614	0.021173	674	0.010386	0.647324	3139	0.335776	0.218000	0.209770	
2647	0.324896	491	0.028513	960	0.020833	902	0.011086	0.647324	2647	0.324896	0.180800	0.209763	
2289	0.316732	449	0.024499	1170	0.023932	1092	0.013736	0.647324	2289	0.316732	0.155800	0.209750	
2812	0.308321	466	0.027897	876	0.020548	846	0.017730	0.647324	2812	0.308321	0.182600	0.209743	
3185	0.313030	455	0.032967	684	0.021930	676	0.014793	0.647324	3185	0.313030	0.207400	0.209742	
3139	0.348200	423	0.080378	736	0.033967	702	0.015670	0.647324	3139	0.348200	0.232600	0.209748	
3005	0.340433	481	0.033264	794	0.041562	720	0.002778	0.647324	3005	0.340433	0.214800	0.209749	
3023	0.331790	451	0.022173	779	0.025674	747	0.017403	0.647324	3023	0.331790	0.209200	0.209749	
2927	0.345063	516	0.052326	814	0.009828	743	0.008075	0.647324	2927	0.345063	0.210200	0.209749	
3259	0.328322	377	0.037135	692	0.036127	672	0.011905	0.647324	3259	0.328322	0.223400	0.209753	
2620	0.329389	348	0.028736	1065	0.021596	967	0.009307	0.647324	2620	0.329389	0.181000	0.209746	
3063	0.329742	460	0.023913	792	0.026515	685	0.011679	0.647324	3063	0.329742	0.210000	0.209746	
3270	0.325994	441	0.029478	681	0.010279	608	0.014803	0.647324	3270	0.325994	0.219000	0.209748	
3077	0.320117	528	0.030303	740	0.010811	655	0.016794	0.647324	3077	0.320117	0.204000	0.209746	
3124	0.315941	521	0.044146	645	0.012403	710	0.022535	0.647324	3124	0.315941	0.206800	0.209746	
3027	0.318137	542	0.016605	690	0.018841	741	0.013495	0.647324	3027	0.318137	0.199000	0.209743	
3155	0.325198	500	0.028000	667	0.028486	678	0.020649	0.647324	3155	0.325198	0.214600	0.209744	
3043	0.331581	547	0.040219	737	0.017639	673	0.011887	0.647324	3043	0.331581	0.210400	0.209744	
3197	0.296215	473	0.050740	700	0.020000	630	0.012698	0.647324	3197	0.296215	0.198600	0.209742	
3093	0.310055	503	0.029821	694	0.021614	710	0.014085	0.647324	3093	0.310055	0.199800	0.209739	
3065	0.314519	497	0.030181	692	0.013006	746	0.016086	0.647324	3065	0.314519	0.200000	0.209737	
3216	0.305659	472	0.027542	650	0.026154	662	0.004532	0.647324	3216	0.305659	0.203200	0.209735	
3114	0.299936	476	0.039916	705	0.022695	705	0.012766	0.647324	3114	0.299936	0.195600	0.209732	
3142	0.308084	468	0.036325	713	0.008415	677	0.020679	0.647324	3142	0.308084	0.201000	0.209730	
3258	0.315224	473	0.033827	607	0.019769	662	0.019637	0.647324	3258	0.315224	0.213600	0.209730	
3241	0.333230	471	0.029724	621	0.009662	667	0.011994	0.647324	3241	0.333230	0.221600	0.209733	
2993	0.314066	541	0.029575	746	0.020107	720	0.013889	0.647324	2993	0.314066	0.196200	0.209730	
3141	0.284623	560	0.042857	615	0.017886	684	0.023392	0.647324	3141	0.284623	0.189000	0.209725	
3185	0.309262	530	0.041509	618	0.019417	667	0.016492	0.647324	3185	0.309262	0.206000	0.209724	
3164	0.321429	518	0.048263	675	0.020741	643	0.012442	0.647324	3164	0.321429	0.212800	0.209725	
3196	0.321026	530	0.033962	599	0.040067	675	0.007407	0.647324	3196	0.321026	0.214600	0.209726	
3225	0.331473	482	0.041494	626	0.007987	667	0.011994	0.647324	3225	0.331473	0.220400	0.209729	
3211	0.338524	477	0.029350	643	0.012442	669	0.008969	0.647324	3211	0.338524	0.223000	0.209732	
3189	0.306366	496	0.054435	641	0.018721	674	0.011869	0.647324	3189	0.306366	0.204800	0.209731	
3182	0.298240	501	0.049900	667	0.007496	650	0.006154	0.647324	3182	0.298240	0.196600	0.209727	
3180	0.322013	490	0.042857	693	0.012987	637	0.010989	0.647324	3180	0.322013	0.212200	0.209728	
3192	0.320175	477	0.058700	685	0.011679	646	0.017028	0.647324	3192	0.320175	0.213800	0.209729	
3207	0.322108	517	0.042553	623	0.009631	653	0.010720	0.647324	3207	0.322108	0.213600	0.209730	
3101	0.320542	554	0.066787	673	0.008915	672	0.005952	0.647324	3101	0.320542	0.208200	0.209730	
3093	0.333980	506	0.045455	724	0.024862	677	0.004431	0.647324	3093	0.333980	0.215400	0.209731	
2697	0.347794	445	0.051685	934	0.017131	924	0.015152	0.647324	2697	0.347794	0.198200	0.209728	
2973	0.345442	469	0.034115	773	0.033635	785	0.017834	0.647324	2973	0.345442	0.216600	0.209730	
3166	0.347442	439	0.041002	689	0.026125	706	0.009915	0.647324	3166	0.347442	0.228600	0.209735	
2855	0.364974	425	0.023529	860	0.012791	860	0.022093	0.647324	2855	0.364974	0.216400	0.209736	
2381	0.337673	384	0.033854	1165	0.055794	1070	0.015888	0.647324	2381	0.337673	0.179800	0.209729	
3225	0.351938	442	0.040724	706	0.014164	627	0.023923	0.647324	3225	0.351938	0.235600	0.209735	
2862	0.315863	454	0.041850	905	0.017680	779	0.024390	0.647324	2862	0.315863	0.191600	0.209731	
2478	0.347861	508	0.039370	1098	0.037341	916	0.016376	0.647324	2478	0.347861	0.187600	0.209725	
2664	0.316817	397	0.052897	982	0.005092	957	0.017764	0.647324	2664	0.316817	0.177400	0.209717	
3131	0.343980	510	0.021569	675	0.014815	684	0.013158	0.647324	3131	0.343980	0.221400	0.209720	
2470	0.357085	363	0.046832	1096	0.012774	1071	0.007470	0.647324	2470	0.357085	0.184200	0.209714	
1934	0.349018	269	0.040892	1440	0.009028	1357	0.014738	0.647324	1934	0.349018	0.143800	0.209698	
2889	0.325718	365	0.057534	867	0.006920	879	0.013652	0.647324	2889	0.325718	0.196000	0.209694	
2819	0.351543	346	0.072254	954	0.039832	881	0.014756	0.647324	2819	0.351543	0.213400	0.209695	
2975	0.343866	432	0.043981	798	0.016291	795	0.030189	0.647324	2975	0.343866	0.215800	0.209697	
2860	0.340909	497	0.044266	870	0.019540	773	0.011643	0.647324	2860	0.340909	0.204600	0.209695	
2851	0.337425	503	0.051690	847	0.021251	799	0.017522	0.647324	2851	0.337425	0.204000	0.209694	
2820	0.352482	488	0.038934	915	0.008743	777	0.018018	0.647324	2820	0.352482	0.207000	0.209693	
