major_clade,subphylum1,subphylum2,class,subclass,order,family,family_mono,subfamily,genus,edited_name,Notes,Lichenicolous,Sapro.Moss,Trentepohliales,Trebouxiophyceae,Cyan,NonLichenized,BipartiteOnly,TripartitePossible,PrimarySapro.Moss,PrimaryTrentepohliales,PrimaryTrebouxiophyceae,PrimaryCyanobacteria,NumberOfStates,NutMult,NutMultCeph1,Micro,Macro,Bipartite_vs_Tripartite,Primary_Grn_vs_Cyano,Micro_vs_Macro,nuSSU,nuLSU,mtSSU,ITS,RPB1,RPB2,MCM7
Pezizomycotina,exLeotiomyceta,Pezizomycetes,Pezizomycetes,Pezizales,Pezizales,Morchellaceae,Morchellaceae,Disciotis,Disciotis,Disciotis_venosa,,,,,,,,,,,,,,,,,,,,,,45775640,45775596,485077550,92430241,94411418,94411332,NA
Pezizomycotina,exLeotiomyceta,Pezizomycetes,Pezizomycetes,Pezizales,Pezizales,Pyronemataceae,Pyronemataceae,Pyronema,Pyronema,Pyronema_domesticum,,,,,,,,,,,,,,,,,,,,,,79102378,311235638,206573567,327206465,94411453,82706472,NA
Pezizomycotina,Leotiomyceta,Eurotiomycetes,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Herpotrichiellaceae,Capronia,Capronia,Capronia_munkii,,,,,,,,,,,,,,,,,,,,,,148628057,148628048,229614725,4206326,149794934,NA,NA
Pezizomycotina,Leotiomyceta,Eurotiomycetes,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Herpotrichiellaceae,Capronia,Capronia,Capronia_pilosella,,,,,,,,,,,,,,,,,,,,,,110816344,110816337,229614727,110951114,111278792,111278806,373939115
Pezizomycotina,Leotiomyceta,Eurotiomycetes,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Herpotrichiellaceae,Exophiala,Exophiala,Exophiala_dermatitidis,,,,,,,,,,,,,,,,,,,,,,110816345,110816338,NA,110951115,111278794,111278808,NA
Pezizomycotina,Leotiomyceta,Eurotiomycetes,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Herpotrichiellaceae,Exophiala,Exophiala,Exophiala_nigra,,,,,,,,,,,,,,,,,,,,,,226439878,226439810,229614744,145905498,226876186,NA,NA
Pezizomycotina,Leotiomyceta,Eurotiomycetes,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Herpotrichiellaceae,Ramichloridium,Ramichloridium,Ramichloridium_anceps,,,,,,,,,,,,,,,,,,,,,,110816347,110816340,229614754,110951117,111278798,111278812,NA
Pezizomycotina,Leotiomyceta,Eurotiomycetes,Eurotiomycetes,Chaetothyriomycetidae,Pyrenulales,Pyrenulaceae,Pyrenulaceae,Pyrgillus,Pyrgillus,Pyrgillus_javanicus,,,,,,,,,,,,,,,,,,,,,,110816348,110816341,229614776,110951118,NA,111154411,NA
Pezizomycotina,Leotiomyceta,Eurotiomycetes,Eurotiomycetes,Chaetothyriomycetidae,Verrucariales,Verrucariaceae,Verrucariaceae,Catapyrenium,Catapyrenium,Catapyrenium_daedaleum,,,,,,,,,,,,,,,,,,,,,,157741412,157102953,485077544,NA,157741483,NA,485077610
Pezizomycotina,Leotiomyceta,Eurotiomycetes,Eurotiomycetes,Chaetothyriomycetidae,Verrucariales,Verrucariaceae,Verrucariaceae,Dermatocarpon,Dermatocarpon,Dermatocarpon_miniatum,,,,,,,,,,,,,,,,,,,,,,46411409,46411433,46411381,NA,110669621,110666974,NA
