edited_name,PrimaryTrebouxiophyceae
Acarospora_austroshetlandica,1
Acarospora_badiofusca,1
Acarospora_bullata,1
Acarospora_canadensis,1
Acarospora_cervina,1
Acarospora_clauzadeana,1
Acarospora_complanata,1
Acarospora_fulvoviridula,1
Acarospora_fuscata,1
Acarospora_hilaris,1
Acarospora_laqueata,1
Acarospora_moenium,1
Acarospora_molybdina,1
Acarospora_nitrophila,1
Acarospora_peliscypha,1
Acarospora_rosulata,1
Acarospora_rugulosa,1
Acarospora_scabrida,1
Acarospora_schleicheri,1
Acarospora_sinopica,1
Acarospora_smaragdula,1
Acarospora_socialis,1
Acarospora_strigata,1
Acarospora_thamnina,1
Glypholecia_scabra,1
Pleopsidium_chlorophanum,1
Pleopsidium_discurrens,1
Pleopsidium_flavum,1
Pleopsidium_gobiense,1
Polysporina_frigida,1
Polysporina_simplex,1
Sarcogyne_privigna,1
Sarcogyne_regularis,1
Timdalia_intricata,1
Fuscidea_cyathoides,1
Fuscidea_intercincta,1
Fuscidea_lightfootii,1
Fuscidea_lygaea,1
Fuscidea_mollis,1
Fuscidea_pusilla,1
Fuscidea_recensa,1
Maronea_chilensis,1
Maronea_constans,1
Bryobilimbia_australis,1
Bryobilimbia_diapensiae,1
Bryobilimbia_hypnorum,1
Bryobilimbia_sanguineoatra,1
Acroscyphus_sphaerophoroides,1
Amandinea_efflorescens,1
Amandinea_lignicola,1
Amandinea_petermannii,1
Amandinea_punctata,1
Australiaena_streimannii,1
Buellia_aethalea,1
Buellia_anisomera,1
Buellia_capitis_regum,1
Buellia_centralis,1
Buellia_dialyta,1
Buellia_dijiana,1
Buellia_disciformis,1
Buellia_dispersa,1
Buellia_elegans,1
Buellia_epigaea,1
Buellia_erubescens,1
Buellia_fimbriata,1
Buellia_frigida,1
Buellia_geophila,1
Buellia_georgei,1
Buellia_griseovirens,1
Buellia_insignis,1
Buellia_muriformis,1
Buellia_ocellata,1
Buellia_papillata,1
Buellia_penichra,1
Buellia_russa,1
Buellia_schaereri,1
Buellia_stillingiana,1
Buellia_subdisciformis,1
Buellia_submuriformis,1
Buellia_triphragmoides,1
Buellia_triseptata,1
Buellia_zoharyi,1
Calicium_abietinum,1
Calicium_adaequatum,1
Calicium_adspersum,1
Calicium_chlorosporum,1
Calicium_denigratum,1
Calicium_glaucellum,1
Calicium_hyperelloides,1
Calicium_montanum,1
Calicium_pinastri,1
Calicium_quercinum,1
Calicium_robustellum,1
Calicium_salicinum,1
Calicium_sequoiae,1
Calicium_trabinellum,1
Calicium_tricolor,1
Calicium_victorianum,1
Calicium_viride,1
Cyphelium_inquinans,1
Cyphelium_karelicum,1
Cyphelium_lucidum,1
Cyphelium_notarisii,1
Cyphelium_tigillare,1
Dermatiscum_thunbergii,1
Dimelaena_oreina,1
Dimelaena_radiata,1
Diploicia_canescens,1
Diploicia_subcanescens,1
Diplotomma_alboatrum,1
Diplotomma_epipolium,1
Diplotomma_pharcidium,1
Diplotomma_rivas_martinezii,1
Diplotomma_subdispersa,1
Diplotomma_venustum,1
Dirinaria_aegialita,1
Dirinaria_applanata,1
Dirinaria_confusa,1
Dirinaria_picta,1
Hafellia_dissa,1
Pyxine_albovirens,1
Pyxine_coccoes,1
Pyxine_consocians,1
Pyxine_copelandii,1
Pyxine_endochrysina,1
