Tip_label	f
Acarospora_austroshetlandica	0.19
Acarospora_badiofusca	0.19
Acarospora_bullata	0.19
Acarospora_canadensis	0.19
Acarospora_cervina	0.19
Acarospora_clauzadeana	0.19
Acarospora_complanata	0.19
Acarospora_fulvoviridula	0.19
Acarospora_fuscata	0.19
Acarospora_hilaris	0.19
Acarospora_laqueata	0.19
Acarospora_moenium	0.19
Acarospora_molybdina	0.19
Acarospora_nitrophila	0.19
Acarospora_peliscypha	0.19
Acarospora_rosulata	0.19
Acarospora_rugulosa	0.19
Acarospora_scabrida	0.19
Acarospora_schleicheri	0.19
Acarospora_sinopica	0.19
Acarospora_smaragdula	0.19
Acarospora_socialis	0.19
Acarospora_strigata	0.19
Acarospora_thamnina	0.19
Glypholecia_scabra	0.19
Pleopsidium_chlorophanum	0.19
Pleopsidium_discurrens	0.19
Pleopsidium_flavum	0.19
Pleopsidium_gobiense	0.19
Polysporina_frigida	0.19
Polysporina_simplex	0.19
Sarcogyne_privigna	0.19
Sarcogyne_regularis	0.19
Timdalia_intricata	0.19
Fuscidea_cyathoides	0.17
Fuscidea_intercincta	0.17
Fuscidea_lightfootii	0.17
Fuscidea_lygaea	0.17
Fuscidea_mollis	0.17
Fuscidea_pusilla	0.17
Fuscidea_recensa	0.17
Maronea_chilensis	0.17
Maronea_constans	0.17
Bryobilimbia_australis	0.8
Bryobilimbia_diapensiae	0.8
Bryobilimbia_hypnorum	0.8
Bryobilimbia_sanguineoatra	0.8
Acroscyphus_sphaerophoroides	0.13
Amandinea_efflorescens	0.13
Amandinea_lignicola	0.13
Amandinea_petermannii	0.13
Amandinea_punctata	0.13
Australiaena_streimannii	0.13
Buellia_aethalea	0.13
Buellia_anisomera	0.13
Buellia_capitis_regum	0.13
Buellia_centralis	0.13
Buellia_dialyta	0.13
Buellia_dijiana	0.13
Buellia_disciformis	0.13
Buellia_dispersa	0.13
Buellia_elegans	0.13
Buellia_epigaea	0.13
Buellia_erubescens	0.13
Buellia_fimbriata	0.13
Buellia_frigida	0.13
Buellia_geophila	0.13
Buellia_georgei	0.13
Buellia_griseovirens	0.13
Buellia_insignis	0.13
Buellia_muriformis	0.13
Buellia_ocellata	0.13
Buellia_papillata	0.13
Buellia_penichra	0.13
Buellia_russa	0.13
Buellia_schaereri	0.13
Buellia_stillingiana	0.13
Buellia_subdisciformis	0.13
Buellia_submuriformis	0.13
Buellia_triphragmoides	0.13
Buellia_triseptata	0.13
Buellia_zoharyi	0.13
Calicium_abietinum	0.13
Calicium_adaequatum	0.13
Calicium_adspersum	0.13
Calicium_chlorosporum	0.13
Calicium_denigratum	0.13
Calicium_glaucellum	0.13
Calicium_hyperelloides	0.13
Calicium_montanum	0.13
Calicium_pinastri	0.13
Calicium_quercinum	0.13
Calicium_robustellum	0.13
Calicium_salicinum	0.13
Calicium_sequoiae	0.13
Calicium_trabinellum	0.13
Calicium_tricolor	0.13
Calicium_victorianum	0.13
Calicium_viride	0.13
Cyphelium_inquinans	0.13
Cyphelium_karelicum	0.13
Cyphelium_lucidum	0.13
Cyphelium_notarisii	0.13
Cyphelium_tigillare	0.13
Dermatiscum_thunbergii	0.13
Dimelaena_oreina	0.13
Dimelaena_radiata	0.13
Diploicia_canescens	0.13
Diploicia_subcanescens	0.13
Diplotomma_alboatrum	0.13
Diplotomma_epipolium	0.13
Diplotomma_pharcidium	0.13
Diplotomma_rivas_martinezii	0.13
Diplotomma_subdispersa	0.13
Diplotomma_venustum	0.13
Dirinaria_aegialita	0.13
Dirinaria_applanata	0.13
Dirinaria_confusa	0.13
Dirinaria_picta	0.13
Hafellia_dissa	0.13
Pyxine_albovirens	0.13
Pyxine_coccoes	0.13
Pyxine_consocians	0.13
Pyxine_copelandii	0.13
Pyxine_endochrysina	0.13
Pyxine_farinosa	0.13
Pyxine_limbulata	0.13
Pyxine_petricola	0.13
Pyxine_sorediata	0.13
Pyxine_subcinerea	0.13
Rinodina_cacuminum	0.13
Santessonia_namibensis	0.13
Santessonia_sorediata	0.13
Tetramelas_confusus	0.13
Tetramelas_phaeophysciae	0.13
Tetramelas_pulverulentus	0.13
Texosporium_sancti_jacobi	0.13
Thelomma_mammosum	0.13
Thelomma_ocellatum	0.13
Tholurna_dissimilis	0.13
Anaptychia_bryorum	0.29
Anaptychia_ciliaris	0.29
Anaptychia_crinalis	0.29
Anaptychia_desertorum	0.29
Anaptychia_elburziana	0.29
Anaptychia_isidiata	0.29
Anaptychia_palmatula	0.29
Anaptychia_runcinata	0.29
Anaptychia_ulotricoides	0.29
Buellia_lindingeri	0.29
Coscinocladium_gaditanum	0.29
Heterodermia_albicans	0.29
Heterodermia_appendiculata	0.29
Heterodermia_boryi	0.29
Heterodermia_casarettiana	0.29
Heterodermia_comosa	0.29
Heterodermia_diademata	0.29
Heterodermia_dissecta	0.29
Heterodermia_erinacea	0.29
Heterodermia_flabellata	0.29
Heterodermia_hypochraea	0.29
Heterodermia_hypoleuca	0.29
Heterodermia_isidiophora	0.29
Heterodermia_japonica	0.29
Heterodermia_lamelligera	0.29
Heterodermia_leucomelaena	0.29
Heterodermia_lutescens	0.29
Heterodermia_microphylla	0.29
Heterodermia_obscurata	0.29
Heterodermia_pellucida	0.29
Heterodermia_propagulifera	0.29
Heterodermia_pseudospeciosa	0.29
Heterodermia_speciosa	0.29
Heterodermia_subascendens	0.29
Heterodermia_vulgaris	0.29
Hyperphyscia_adglutinata	0.29
Mobergia_calculiformis	0.29
Phaeophyscia_adiastola	0.29
Phaeophyscia_ciliata	0.29
Phaeophyscia_constipata	0.29
Phaeophyscia_denigrata	0.29
Phaeophyscia_endococcina	0.29
Phaeophyscia_endophoenicea	0.29
Phaeophyscia_exornatula	0.29
Phaeophyscia_hirsuta	0.29
Phaeophyscia_hirtella	0.29
Phaeophyscia_hirtuosa	0.29
Phaeophyscia_hispidula	0.29
Phaeophyscia_imbricata	0.29
Phaeophyscia_insignis	0.29
Phaeophyscia_limbata	0.29
Phaeophyscia_melanchra	0.29
Phaeophyscia_nigricans	0.29
Phaeophyscia_orbicularis	0.29
Phaeophyscia_primaria	0.29
Phaeophyscia_pusilloides	0.29
Phaeophyscia_pyrrhophora	0.29
Phaeophyscia_sciastra	0.29
Phaeophyscia_squarrosa	0.29
Phaeorrhiza_nimbosa	0.29
Phaeorrhiza_sareptana	0.29
Physcia_adscendens	0.29
Physcia_aipolia	0.29
Physcia_alba	0.29
Physcia_albinea	0.29
Physcia_alnophila	0.29
Physcia_atrostriata	0.29
Physcia_austrostellaris	0.29
Physcia_biziana	0.29
Physcia_caesia	0.29
Physcia_dimidiata	0.29
Physcia_dubia	0.29
Physcia_erumpens	0.29
Physcia_integrata	0.29
Physcia_jackii	0.29
Physcia_kalbii	0.29
Physcia_krogiae	0.29
Physcia_leptalea	0.29
Physcia_magnussonii	0.29
Physcia_millegrana	0.29
Physcia_nubila	0.29
Physcia_orientalis	0.29
Physcia_phaea	0.29
Physcia_semipinnata	0.29
Physcia_sorediosa	0.29
Physcia_stellaris	0.29
Physcia_subalbinea	0.29
Physcia_tenella	0.29
Physcia_tribacia	0.29
Physcia_tropica	0.29
Physcia_undulata	0.29
Physciella_chloantha	0.29
Physconia_americana	0.29
Physconia_detersa	0.29
