Tip_label f
Acarospora_austroshetlandica 0.05
Acarospora_badiofusca 0.05
Acarospora_bullata 0.05
Acarospora_canadensis 0.05
Acarospora_cervina 0.05
Acarospora_clauzadeana 0.05
Acarospora_complanata 0.05
Acarospora_fulvoviridula 0.05
Acarospora_fuscata 0.05
Acarospora_hilaris 0.05
Acarospora_laqueata 0.05
Acarospora_moenium 0.05
Acarospora_molybdina 0.05
Acarospora_nitrophila 0.05
Acarospora_peliscypha 0.05
Acarospora_rosulata 0.05
Acarospora_rugulosa 0.05
Acarospora_scabrida 0.05
Acarospora_schleicheri 0.05
Acarospora_sinopica 0.05
Acarospora_smaragdula 0.05
Acarospora_socialis 0.05
Acarospora_strigata 0.05
Acarospora_thamnina 0.05
Glypholecia_scabra 0.05
Pleopsidium_chlorophanum 0.05
Pleopsidium_discurrens 0.05
Pleopsidium_flavum 0.05
Pleopsidium_gobiense 0.05
Polysporina_frigida 0.05
Polysporina_simplex 0.05
Sarcogyne_privigna 0.05
Sarcogyne_regularis 0.05
Timdalia_intricata 0.05
Fuscidea_cyathoides 0.04
Fuscidea_intercincta 0.04
Fuscidea_lightfootii 0.04
Fuscidea_lygaea 0.04
Fuscidea_mollis 0.04
Fuscidea_pusilla 0.04
Fuscidea_recensa 0.04
Maronea_chilensis 0.04
Maronea_constans 0.04
Bryobilimbia_australis 0.2
Bryobilimbia_diapensiae 0.2
Bryobilimbia_hypnorum 0.2
Bryobilimbia_sanguineoatra 0.2
Acroscyphus_sphaerophoroides 0.03
Amandinea_efflorescens 0.03
Amandinea_lignicola 0.03
Amandinea_petermannii 0.03
Amandinea_punctata 0.03
Australiaena_streimannii 0.03
Buellia_aethalea 0.03
Buellia_anisomera 0.03
Buellia_capitis_regum 0.03
Buellia_centralis 0.03
Buellia_dialyta 0.03
Buellia_dijiana 0.03
Buellia_disciformis 0.03
Buellia_dispersa 0.03
Buellia_elegans 0.03
Buellia_epigaea 0.03
Buellia_erubescens 0.03
Buellia_fimbriata 0.03
Buellia_frigida 0.03
Buellia_geophila 0.03
Buellia_georgei 0.03
Buellia_griseovirens 0.03
Buellia_insignis 0.03
Buellia_muriformis 0.03
Buellia_ocellata 0.03
Buellia_papillata 0.03
Buellia_penichra 0.03
Buellia_russa 0.03
Buellia_schaereri 0.03
Buellia_stillingiana 0.03
Buellia_subdisciformis 0.03
Buellia_submuriformis 0.03
Buellia_triphragmoides 0.03
Buellia_triseptata 0.03
Buellia_zoharyi 0.03
Calicium_abietinum 0.03
Calicium_adaequatum 0.03
Calicium_adspersum 0.03
Calicium_chlorosporum 0.03
Calicium_denigratum 0.03
Calicium_glaucellum 0.03
Calicium_hyperelloides 0.03
Calicium_montanum 0.03
Calicium_pinastri 0.03
Calicium_quercinum 0.03
Calicium_robustellum 0.03
Calicium_salicinum 0.03
Calicium_sequoiae 0.03
Calicium_trabinellum 0.03
Calicium_tricolor 0.03
Calicium_victorianum 0.03
Calicium_viride 0.03
Cyphelium_inquinans 0.03
Cyphelium_karelicum 0.03
Cyphelium_lucidum 0.03
Cyphelium_notarisii 0.03
Cyphelium_tigillare 0.03
Dermatiscum_thunbergii 0.03
Dimelaena_oreina 0.03
Dimelaena_radiata 0.03
Diploicia_canescens 0.03
Diploicia_subcanescens 0.03
Diplotomma_alboatrum 0.03
Diplotomma_epipolium 0.03
Diplotomma_pharcidium 0.03
Diplotomma_rivas_martinezii 0.03
Diplotomma_subdispersa 0.03
Diplotomma_venustum 0.03
Dirinaria_aegialita 0.03
Dirinaria_applanata 0.03
Dirinaria_confusa 0.03
Dirinaria_picta 0.03
Hafellia_dissa 0.03
Pyxine_albovirens 0.09
Pyxine_coccoes 0.09
Pyxine_consocians 0.09
Pyxine_copelandii 0.09
Pyxine_endochrysina 0.09
Pyxine_farinosa 0.09
Pyxine_limbulata 0.09
Pyxine_petricola 0.09
Pyxine_sorediata 0.09
Pyxine_subcinerea 0.09
Rinodina_cacuminum 0.03
Santessonia_namibensis 0.09
Santessonia_sorediata 0.09
Tetramelas_confusus 0.03
Tetramelas_phaeophysciae 0.03
Tetramelas_pulverulentus 0.03
Texosporium_sancti_jacobi 0.03
Thelomma_mammosum 0.03
Thelomma_ocellatum 0.03
Tholurna_dissimilis 0.09
Anaptychia_bryorum 0.2
Anaptychia_ciliaris 0.2
Anaptychia_crinalis 0.2
Anaptychia_desertorum 0.2
Anaptychia_elburziana 0.2
Anaptychia_isidiata 0.2
Anaptychia_palmatula 0.2
Anaptychia_runcinata 0.2
Anaptychia_ulotricoides 0.2
Buellia_lindingeri 0.07
Coscinocladium_gaditanum 0.07
Heterodermia_albicans 0.2
Heterodermia_appendiculata 0.2
Heterodermia_boryi 0.2
Heterodermia_casarettiana 0.2
Heterodermia_comosa 0.2
Heterodermia_diademata 0.2
Heterodermia_dissecta 0.2
Heterodermia_erinacea 0.2
Heterodermia_flabellata 0.2
Heterodermia_hypochraea 0.2
Heterodermia_hypoleuca 0.2
Heterodermia_isidiophora 0.2
Heterodermia_japonica 0.2
Heterodermia_lamelligera 0.2
Heterodermia_leucomelaena 0.2
Heterodermia_lutescens 0.2
Heterodermia_microphylla 0.2
Heterodermia_obscurata 0.2
Heterodermia_pellucida 0.2
Heterodermia_propagulifera 0.2
Heterodermia_pseudospeciosa 0.2
Heterodermia_speciosa 0.2
Heterodermia_subascendens 0.2
Heterodermia_vulgaris 0.2
Hyperphyscia_adglutinata 0.07
Mobergia_calculiformis 0.2
Phaeophyscia_adiastola 0.2
Phaeophyscia_ciliata 0.2
Phaeophyscia_constipata 0.2
Phaeophyscia_denigrata 0.2
Phaeophyscia_endococcina 0.2
Phaeophyscia_endophoenicea 0.2
Phaeophyscia_exornatula 0.2
Phaeophyscia_hirsuta 0.2
Phaeophyscia_hirtella 0.2
Phaeophyscia_hirtuosa 0.2
Phaeophyscia_hispidula 0.2
Phaeophyscia_imbricata 0.2
Phaeophyscia_insignis 0.2
Phaeophyscia_limbata 0.2
Phaeophyscia_melanchra 0.2
Phaeophyscia_nigricans 0.2
Phaeophyscia_orbicularis 0.2
Phaeophyscia_primaria 0.2
Phaeophyscia_pusilloides 0.2
Phaeophyscia_pyrrhophora 0.2
Phaeophyscia_sciastra 0.2
Phaeophyscia_squarrosa 0.2
